"","AMT","TIME","TFDS","DV"
"595",200,10,4,35.16194857
"596",200,11,5,29.16514925
"597",200,12,0,24.93166365
"598",200,13,1,106.56456743
"599",200,14,2,70.23999511
"600",200,15,3,50.47952465
"601",200,16,4,40.10263722
"602",200,17,5,33.57517745
"603",200,18,0,28.86892251
"604",200,19,1,110.0802759
"605",200,20,2,73.37960896
"606",200,21,3,53.28346957
"607",200,22,4,42.60691649
"608",200,23,5,35.81188644
"609",200,24,0,30.86669133
"610",200,25,1,111.8646546
"611",200,26,2,74.97340553
"612",200,27,3,54.70704824
"613",200,28,4,43.87846193
"614",200,29,5,36.94763847
"615",200,30,0,31.88115379
"616",200,31,1,112.77078144
"617",200,32,2,75.78276672
"618",200,33,3,55.42997784
"619",200,34,4,44.5241902
"620",200,35,5,37.52440986
"621",200,36,0,32.39633225
"622",200,37,1,113.23094447
"623",200,38,2,76.19378941
"624",200,39,3,55.79710786
"625",200,40,4,44.8521148
"626",200,41,5,37.81731576
"627",200,42,0,32.65795905
"628",200,43,1,113.46463245
"629",200,44,2,76.40252211
"630",200,45,3,55.98355023
"631",200,46,4,45.01864721
"632",200,47,5,37.96606436
"633",200,48,0,32.79082296
"634",200,49,1,113.58330797
"635",200,50,2,76.50852442
"636",200,51,3,56.07823267
"637",200,52,4,45.10321862
"638",200,53,5,38.04160449
"639",200,54,0,32.85829625
"640",200,55,1,113.64357586
"641",200,56,2,76.56235637
"642",200,57,3,56.12631597
"643",200,58,4,45.14616716
"644",200,59,5,38.0799666
"645",200,60,0,32.89256172
"646",200,61,1,113.67418216
"647",200,62,2,76.58969426
"648",200,63,3,56.15073447
"649",200,64,4,45.16797804
"650",200,65,5,38.09944832
"651",200,66,0,32.90996301
"652",200,67,1,113.68972519
"653",200,68,2,76.60357746
"654",200,69,3,56.16313511
"655",200,70,4,45.17905443
"656",200,71,5,38.10934187
"657",200,72,6,32.91880004
"658",200,0,0,0
"659",200,1,1,154.91823093
"660",200,2,2,161.51329081
"661",200,3,3,125.99777236
"662",200,4,4,98.0224402
"663",200,5,5,78.68535936
"664",200,6,0,64.83060695
"665",200,7,1,209.23255829
"666",200,8,2,207.46553511
"667",200,9,3,165.0923107
"668",200,10,4,131.38641909
"669",200,11,5,107.20812338
"670",200,12,0,89.23805896
"671",200,13,1,230.12957633
"672",200,14,2,225.362283
"673",200,15,3,180.4220492
"674",200,16,4,144.51853119
"675",200,17,5,118.45821663
"676",200,18,0,98.87612017
"677",200,19,1,238.38672093
"678",200,20,2,232.43642517
"679",200,21,3,186.48270635
"680",200,22,4,149.71091491
"681",200,23,5,122.90672555
"682",200,24,0,102.68732683
"683",200,25,1,241.65192797
"684",200,26,2,235.23385406
"685",200,27,3,188.87937197
"686",200,28,4,151.76423126
"687",200,29,5,124.66588136
"688",200,30,0,104.19446392
"689",200,31,1,242.94315085
"690",200,32,2,236.34009486
"691",200,33,3,189.82713143
"692",200,34,4,152.57621362
"693",200,35,5,125.36153819
"694",200,36,0,104.79046016
"695",200,37,1,243.45376399
"696",200,38,2,236.77755697
"697",200,39,3,190.20192222
"698",200,40,4,152.89731145
"699",200,41,5,125.63663518
"700",200,42,0,105.02614643
"701",200,43,1,243.65568558
"702",200,44,2,236.95055104
"703",200,45,3,190.35013296
"704",200,46,4,153.02428935
"705",200,47,5,125.74542208
"706",200,48,0,105.1193484
"707",200,49,1,243.73553532
"708",200,50,2,237.01896142
"709",200,51,3,190.40874279
"710",200,52,4,153.07450267
"711",200,53,5,125.78844178
"712",200,54,0,105.15620505
"713",200,55,1,243.76711184
"714",200,56,2,237.04601425
"715",200,57,3,190.43192001
"716",200,58,4,153.09435949
"717",200,59,5,125.80545389
"718",200,60,0,105.17077998
"719",200,61,1,243.77959876
"720",200,62,2,237.05671227
"721",200,63,3,190.44108542
"722",200,64,4,153.10221185
"723",200,65,5,125.81218132
"724",200,66,0,105.17654363
"725",200,67,1,243.7845367
"726",200,68,2,237.0609428
"727",200,69,3,190.44470987
"728",200,70,4,153.10531707
"729",200,71,5,125.81484167
"730",200,72,6,105.17882286
"731",200,0,0,0
"732",200,1,1,68.64297238
"733",200,2,2,41.65495697
"734",200,3,3,26.64452376
"735",200,4,4,20.19781667
"736",200,5,5,16.76709604
"737",200,6,0,14.44930381
"738",200,7,1,81.2753553
"739",200,8,2,52.7620358
"740",200,9,3,36.43488277
"741",200,10,4,28.8385325
"742",200,11,5,24.39896267
"743",200,12,0,21.19356612
"744",200,13,1,87.23746157
"745",200,14,2,58.03417273
"746",200,15,3,41.09789904
"747",200,16,4,32.96348759
"748",200,17,5,28.04841204
"749",200,18,0,24.42264591
"750",200,19,1,90.09481415
"751",200,20,2,60.56274281
"752",200,21,3,43.33562257
"753",200,22,4,34.94389069
"754",200,23,5,29.80113382
"755",200,24,0,25.97389612
"756",200,25,1,91.46777478
"757",200,26,2,61.77792119
"758",200,27,3,44.4111622
"759",200,28,4,35.8958453
"760",200,29,5,30.64370915
"761",200,30,0,26.71966338
"762",200,31,1,92.12785923
"763",200,32,2,62.36216879
"764",200,33,3,44.92828697
"765",200,34,4,36.35355962
"766",200,35,5,31.048839
"767",200,36,0,27.0782503
"768",200,37,1,92.44525051
"769",200,38,2,62.64309729
"770",200,39,3,45.17694176
"771",200,40,4,36.57364846
"772",200,41,5,31.24364367
"773",200,42,0,27.25067552
"774",200,43,1,92.59786729
"775",200,44,2,62.77818127
"776",200,45,3,45.29650715
"777",200,46,4,36.67947805
"778",200,47,5,31.33731545
"779",200,48,0,27.33358619
"780",200,49,1,92.67125312
"781",200,50,2,62.84313647
"782",200,51,3,45.35400023
"783",200,52,4,36.73036629
"784",200,53,5,31.3823576
"785",200,54,0,27.37345387
"786",200,55,1,92.70654076
"787",200,56,2,62.87437024
"788",200,57,3,45.38164584
"789",200,58,4,36.75483595
"790",200,59,5,31.40401617
"791",200,60,0,27.39262428
"792",200,61,1,92.72350886
"793",200,62,2,62.88938903
"794",200,63,3,45.39493926
"795",200,64,4,36.76660221
"796",200,65,5,31.41443071
"797",200,66,0,27.40184239
"798",200,67,1,92.73166799
"799",200,68,2,62.89661083
"800",200,69,3,45.40133142
"801",200,70,4,36.77226003
"802",200,71,5,31.41943856
"803",200,72,6,27.40627493
"804",200,0,0,0
"805",200,1,1,56.72588517
"806",200,2,2,40.91853268
"807",200,3,3,29.29182807
"808",200,4,4,22.84588827
"809",200,5,5,18.86959063
"810",200,6,0,16.11060443
"811",200,7,1,70.73730763
"812",200,8,2,53.22976577
"813",200,9,3,40.17138889
"814",200,10,4,32.4916116
"815",200,11,5,27.43744099
"816",200,12,0,23.72934011
"817",200,13,1,77.51641778
"818",200,14,2,59.26407569
"819",200,15,3,45.54394412
"820",200,16,4,37.27563146
"821",200,17,5,31.69774232
"822",200,18,0,27.5234407
"823",200,19,1,80.89543266
"824",200,20,2,62.27346961
"825",200,21,3,48.2241774
"826",200,22,4,39.66272225
"827",200,23,5,33.82376043
